English,Greek
"Unable to repair, please check table status.","Η επισκευή είναι αδύνατη, παρακαλώ έλεγξε την κατάσταση του τραπεζιού."
"Not enough {0} to complete the repair, {1} needed.","Δεν υπάρχουν αρκετά {0} για να ολοκληρωθεί η επισκευή, απαιτούνται {1}."
{0} repaired to maximum durability.,{0} επισκευάστηκε στη μέγιστη ανθεκτικότητα.
No items marked for trade.,Δεν επισημάνθηκε αντικείμενο για να εμπορευθεί.
Trade failed: {0} doesn't want any more {1}.,Το εμπόριο απέτυχε: Ο παίκτης {0} δεν χρειάζεται περισσότερα {1}.
Trade failed: {0} wants a max of {1} {2},Το εμπόριο απέτυχε: Ο παίκτης {0} χρειάζεται το πολύ {1} {2}
The owner {0} doesn't have enough currency to cover this trade.,Ο ιδιοκτήτης {0} δεν έχει αρκετά κέρματα για να καλύψει τη συναλλαγή.
{0} is now sold out of {1},{0} έχει πουλήσει όλα τα {1}
You are too hungry to pull this {0}!,Πεινάς πολύ για να τραβήξεις αυτό το {0}!
No meteor to destroy.,Δεν υπάρχει μετεωρίτης για να καταστραφεί.
Meteor destroyed.,Ο μετεωρίτης καταστράφηκε.
A wild meteor has appeared!,Ένας άγριος μετεωρίτης εμφανίστηκε!
A meteor already exists!,Ένας μετεωρίτης υπάρχει ήδη!
"Contract '{0}' is invalid, must fix or delete before posting another one.","Το συμβόλαιο '{0}' δεν είναι έγκυρο, πρέπει να το φτιάξεις ή να το διαγράψεις πριν δημοσιεύσει κάποιο άλλο."
No currency found.,Δεν βρέθηκε νόμισμα.
<Unassigned>,<Unassigned>
That contract is too far away to accept.  Contract board is located at {0}.,Αυτό το συμβόλαιο είναι πολύ μακριά για να το αποδεχτείς. Το συμβόλαιο βρίσκεται στον πίνακα συμβολαίων του {0}.
Contract not accepted: cannot have more than {0} active contracts at once.,Δεν μπορείς να δεχτείς το συμβόλαιο: δεν μπορείς να έχεις περισσότερα από {0} ενεργά συμβόλαια ταυτόχρονα.
Can't mark a job failed until the time has expired. {0} left.,Δεν μπορείς να επισημάνεις μία δουλειά ότι απέτυχε μέχρι να τελειώσει ο χρόνος. Απέμειναν {0}.
{0:client name} marked your contract as failed:,{0:client name} επισήμανε το συμβόλαιό σου ως αποτυχημένο:
Contract does not have any clauses.,Συμβόλαιο δεν έχει ρήτρες.
Must give the contract a name (click icon in title bar).,Πρέπει να δώσεις στο συμβόλαιο ένα όνομα (κλικ στο εικονίδιο στην μπάρα τίτλου).
"Contract must not be 'Auto-Accept' when containing a custom clause.  Uncheck it at the bottom of the contract, and you will have to manually approve when this contract completes.",Δεν συμβόλαιο δεν μπορεί αν οριστεί με 'Αυτόματη Αποδοχή' όταν περιέχει προσαρμοσμένες συνθήκες. Απεπίλεξέ το στο κάτω μέρος του συμβολαίου και θα πρέπει να το αποδεχθείς χειροκίνητα όταν το συμβόλαιο ολοκληρωθεί.
Put {0} in {1}.,Βάλε {0} στο {1}.
No items specified for container clause.,Δεν έχουν οριστεί αντικείμενα για τη ρήτρα δοχείου.
"No room at requested location, {0}.","Δεν υπάρχει ελεύθερος χώρος στην περιοχή που ζητήθηκε, {0}."
From position not specified for Build Road clause.,Δεν έχει καθοριστεί από που θα ξεκινάει ο δρόμος.
To position not specified for Build Road clause.,Δεν έχει καθοριστεί πού θα τελειώνει ο δρόμος.
Same position chosen for beginning/end points of road in Build Road clause.,Έχει επιλεχθεί η ίδια θέση αρχή/τέλος για τον δρόμο στην συνθήκη Κατασκευής Δρόμου.
No item specified for road type.,Δεν έχει διευκρινιστεί ο τύπος του δρόμου.
No road type selected.,Δεν έχει επιλεχθεί ο τύπος του δρόμου.
Road not complete. Last valid point on road detected at {0}.,Ο δρόμος δεν έχει ολοκληρωθεί. Το τελευταίο έγκυρο σημείο δρόμου εντοπίστηκε {0}.
more,περισσότερα
less,λιγότερα
No property specified for Blocks clause.,Δεν έχει καθοριστεί ιδιότητα για τη ρήτρα Blocks.
No items specified for blocks on property clause.,Δεν έχουν ορισθεί αντικείμενα για μπλοκ στην συνθήκη ιδιοκτησίας.
more than,περισσότερο από
less than,λιγότερο από
\nFound {0} at {1}.,\nΒρέθηκαν {0} στο {1}.
No currency specified in payment clause.,Δεν έχει καθοριστεί νόμισμα στον τρόπο πληρωμής.
Client doesn't have {0} needed to pay.,Ο πελάτης δεν έχει {0} που απαιτείται να πληρώσει.
Contractor doesn't have the needed {0} deposit specified in payment clause.,Ο κατασκευαστής δεν έχει το απαιτούμενο {0} αποθεματικό που έχει καθοριστεί στον τρόπο πληρωμής.
{0} paid to {1}. ,{0} πληρώθηκαν σε {1}. 
{0} refunded.,{0} επιστράφηκαν.
No custom description set.,Δεν έχει οριστεί καμία περιγραφή.
{0} must be at or above {1}.,{0} πρέπει να είναι ίσο ή μεγαλύτερο από {1}.
property rights,δικαιώματα ιδιοκτησίας
object rights,δικαιώματα αντικειμένων
permanently,μόνιμα
for the term of the contract,για τον όρο της σύμβασης
contract start,έναρξη συμβολαίου
contract completion,ολοκλήρωση συμβολαίου
Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Έλαβες {0:rights} στο {1} {2:permanent or not} σε {3:time point}.
No location specified for permissions grant.,Δεν έχει καθοριστεί τοποθεσία για την χορήγηση αδειών.
"If you give permissions at contract completion, they must be permanent.","Εάν παραχωρήσεις δικαιώματα στην ολοκλήρωση ενός συμβολαίου, πρέπει αυτά να είναι μόνιμα."
"Can't get permissions on property or object at {0}, may be unclaimed.","Δεν είναι δυνατή η λήψη δικαιωμάτων σε ιδιότητα ή αντικείμενο στο {0}, μπορεί να μην απαιτείται."
added,προστέθηκε
removed,αφαιρέθηκε
{0} of the following must be true: {1},{0} από τα παρακάτω πρέπει να αληθεύουν: {1}
Harvest all {0} on the property at {1}.,Συγκομιδή όλων {0} από την ιδιοκτησία στο {1}.
No harvest items specified.,Δεν έχουν οριστεί αντικείμενα για συγκομιδή.
Harvest container,Φωριαμός Συγκομιδής
Tree still has unharvested logs:\n{0},Το δέντρο έχει ακόμα κορμούς που δεν έχουν μαζευτεί:\n{0}
Property still has unharvested plants: {0} at {1}.,Η ιδιοκτησία έχει ακόμα φυτά που δεν έχουν μαζευτεί: {0} στο {1}.
Mow the lawn on the property at {0}.,Κούρεψε το γκαζόν στην ιδιοκτησία {0}.
Nothing mowable on that property.,Δεν υπάρχει τίποτα για να κουρευτεί σε αυτή την ιδιοκτησία.
Unmowed {0:species name} at {1:position}.,Ακούρευτα {0:species name} στην {1:position}.
Mow Lawn,Κούρεμα Γκαζόν
Plow {0} square meters of field on the property at {1}.,Όργωσε {0} τετραγωνικά μέτρα εδάφους στην τοποθεσία {1}.
Property does not cover {0} units.,Η ιδιοκτησία δεν καλύπτει {0} μονάδες.
"Only {0} tilled spaces found on property, {1} needed.","Μόνο {0} κενά τετράγωνα βρέθηκαν στην ιδιοκτησία, {1} απαιτούνται."
Mow,Θέρισμα
No property specified for clause.,Δεν έχει οριστεί ιδιοκτησία για συνθήκη.
Debris/stumps still on property at {0}.,Υπάρχουν ακόμα Συντρίμμια/στάμπες στην ιδιοκτησία στο {0}.
Move items from {0} to {1}.,Μετακίνηση αντικειμένων από {0} σε {1}.
Can't place a block there,Δεν μπορείς να τοποθετήσεις ένα μπλοκ εκεί
No block to pick up,Δεν υπάρχουν μπλοκ για να σηκώσεις
That is not a clothing item,Δεν υπάρχει αντικείμενο ένδυσης
You equipped {0},Έχεις εξοπλίσει {0}
Your {0} broke!  It will be much less efficient until repaired.,Το {0} έσπασε! Θα είναι πολύ λιγότερο αποτελεσματικό μέχρι να επισκευαστεί.
You are not authorized to remove items from that.,Δεν είσαι εξουσιοδοτημένος για να αφαιρέσεις αντικείμενα από αυτό.
You are not authorized to put items into that.,Δεν είσαι εξουσιοδοτημένος για να βάλεις αντικείμενα σε αυτό.
Can't select {0} while carrying {1}.,Δεν μπορείς να επιλέξεις {0} όσο κουβαλάς {1}.
Skill Benefits,Οφέλη Δεξιοτήτων
Couldn't find any items matching {0},Δεν ήταν δυνατή η εύρεση αντικειμένων που να ταιριάζουν με {0}
"Multiple items found matching, use more specific string: {0}","Βρέθηκαν πολλαπλά αντικείμενα που ταιριάζουν, χρησιμοποιήστε μία πιο συγκεκριμένη συμβολοσειρά: {0}"
Cannot plant on a spot occupied by {0},Δεν μπορείς να φυτέψεις σε ένα σημείο που είναι ήδη πιασμένο από {0}
Plant already exists there.,Υπάρχει ήδη φυτό εκεί.
Unknown plant type: {0},Άγνωστο είδος φυτού: {0}
You have too many Skill Scrolls already.,Έχεις ήδη πάρα πολλές περγαμηνές δεξιοτήτων.
Only {0} can collect that,Μόνο {0} μπορεί να το συλλέξει αυτό
"Can't place there, blocked.","Μπλοκαρισμένο, δεν μπορείς να τοποθετήσεις εκεί."
This plant is dead.,Αυτό το φυτό είναι νεκρό.
Atmosphere:({0}),Ατμόσφαιρα:({0})
Balanced Multiplier: {0},Ισορροπημένος Πολλαπλασιαστής: {0}
Base Gain: {0},Βάση Κέρδους: {0}
Calories,Θερμίδες
Waste,Απόβλητα
Nutrition,Θρέψη
Stomach Contents,Περιεχόμενα Στομαχιού
full,πλήρες
You are not logged in,Δεν είσαι συνδεδεμένος σε
You have kicked {0},Εκδιώχθηκες από {0}
{0} is not online,Ο {0} δεν είναι online
Your Steam id is {0}.,Το Steam id σου είναι {0}.
Your SLG id is {0}.,Το SLG id σου είναι {0}.
{0} is not logged in to a Steam account.,Ο {0} δεν είναι συνδεδεμένος σε έναν λογαριασμό Steam.
{0}'s Steam id is {1}.,Ο Steam id του {0} είναι {1}.
{0} is not logged in to an SLG account.,Ο {0} δεν είναι συνδεδεμένος σε έναν λογαριασμό SLG.
{0} World Marker,{0} Δημιουργός Κόσμου
Located {0:distance and direction} at {1}.,Βρίσκεται {0:distance and direction} στο {1}.
Link added to clipboard.,Ο σύνδεσμος αντιγράφτηκε.
Waypoint added.,Προστέθηκε διαδρομή.
Cleared all non-global markers.,Καθαρίστηκαν όλοι οι μη διεθνής δείκτες.
{0} set their objective: {1},Οι {0} όρισαν την αποστολή τους σε: {1}
You already own this deed.,Κατέχεις ήδη αυτή την έκταση γης.
Room had no ceiling at {0}.,Το δωμάτιο δεν έχει οροφή σε {0}.
Room is flooded at {0},Το δωμάτιο έχει πλημμυρίσει σε {0}
'{0}' is not a valid tier number,Το '{0}' δεν είναι έγκυρος αριθμός βαθμίδας
Must be contained within a room,Πρέπει να είναι σε δωμάτιο
Contained within a room,Είναι σε ένα δωμάτιο
Pressure:{0}atm,Πίεση: {0}ατμ
Current skill rate is {0}.,Τρέχον βαθμός ικανότητας {0}.
{0} has issued you a warning. {1},{0} σου έδωσε μία προειδοποίηση. {1}
You have sent a warning to {0},Έστειλες προειδοποίηση στον {0}
Bad elk meat?,Κακό κρέας ελαφιού;
Time for some government spending!,Είναι ώρα για για γίνουν μερικά έξοδα κυβερνήσεως!
Gabe has made it rain.,Ο Gabe έκανε να βρέξει.
You gave {0} skillpoints to {1},Έχεις {0} πόντους ικανοτήτων για {1}
Atmosphere added.,Προστέθηκε ατμόσφαιρα.
You gave {0} plots to {1}.,Έδωσες {0} οικόπεδα για {1}.
You gained {0} plots.,Κέρδισες {0} οικόπεδα.
With great power comes great responsibility,Η μεγάλη δύναμη φέρνει μεγάλη ευθύνη
Selected item doesn't have durability.,Το επιλεγμένο αντικείμενο δεν έχει αντοχή.
Durability set to {0},Η αντοχή ορίστηκε σε {0}
Finished in {0},Ολοκληρώνεται σε {0}
{0} commands:,{0} εντολές:
Online: {0},Σε σύνδεση: {0}
You are a {0},Είσαι ένας {0}
{0} is not a world layer.,Το {0} δεν είναι στρώμα του κόσμου.
Missing Location,Λείπει η Τοποθεσία
"Can't add tutorial item to inventory, no room.","Δεν μπορεί να προστεθεί αντικείμενο εκμάθησης στο invetory, χωρίς χώρο."
Building Blocks...,Κατασκευή Τούβλων...
{0} has no access rights for {1} at {2}.,Ο {0} δεν έχει δικαιώματα πρόσβασης για {1} σε {2}.
{0} not selected.,{0} δεν επιλέχθηκε.
{0} cannot accept items of type {1}.,{0} δεν έχει πρόσβαση αντικειμένων τύπου {1}.
Need to add {0} to {1}.,Χρειάζεται να προστεθούν {0} για {1}.
Button pressed.,Πατήθηκε κουμπί.
meters,μέτρα
Plant,Φυτό
This plant is dead. {0},Το φυτό είναι νεκρό. {0}
Calories Available: {0},Διαθέσιμες Θερμίδες: {0}
Calories Required per Organism: {0},Θερμίδες που απαιτούνται ανά Οργανισμό: {0}
Amount of {0} Available: {1},Πλήθος από {0} Διαθέσιμα: {1}
Log is not ready for harvest.  Remove all branches first.,Το κούτσουρο δεν είναι έτοιμο για συγκομιδή. Αφαίρεσε πρώτα όλα τα κλαδιά του δέντρου.
"Log is too large to pick up, slice into smaller pieces first.","Το κούτσουρο είναι πολύ μεγάλο για να το σηκώσεις, κόψε το πρώτα σε μικρότερα κομμάτια."
You are already carrying {0:items} and cannot pick up {1:items}.,Κουβαλάς ήδη {0:items} και δεν μπορείς να σηκώσεις {1:items}.
You must obtain authorization to shoot {0}.,Πρέπει να έχεις άδεια για να πυροβολήσεις {0}.
Axe,Τσεκούρι
Pickaxe,Αξίνα
Scythe,Δρεπάνι
Shovel,Φτυάρι
Iron Axe,Σιδερένιο Τσεκούρι
Iron Hammer,Σιδερένιο Σφυρί
Iron Hoe,Σιδερένια Σκαπάνη
Iron Pickaxe,Σιδερένια Αξίνα
Iron Shovel,Σιδερένιο Φτυάρι
Modern Axe,Μοντέρνο Τσεκούρι
Modern Hammer,Μοντέρνο Σφυρί
Modern Hoe,Μοντέρνα Σκαπάνη
Modern Pickaxe,Μοντέρνα Αξίνα
Modern Scythe,Μοντέρνο Δρεπάνι
Modern Shovel,Μοντέρνο Φτυάρι
Steel Axe,Ατσάλινο Τσεκούρι
Steel Hammer,Ατσάλινο Σφυρί
Steel Hoe,Ατσάλινη Σκαπάνη
Steel Pickaxe,Ατσάλινη Αξίνα
Steel Shovel,Ατσάλινο Φτυάρι
Stone Axe,Πέτρινο Τσεκούρι
Stone Hammer,Πέτρινο Σφυρί
Stone Pickaxe,Πέτρινη Αξίνα
Wooden Hoe,Ξύλινη Σκαπάνη
Wooden Shovel,Ξύλινο Φτυάρι
Bow,Τόξο
Amanita Mushrooms,Μανιτάρια Amanita
Beet,Παντζάρι
Corn,Καλαμπόκι
Crimini Mushrooms,Μανιτάρια Crimini
Fiddleheads,Κουνουπίδι
Fireweed Shoots,Fireweed Shoots
Giant Cactus Fruit,Φραγκόσυκο
Huckleberries,Μύρτιλλα
Prickly Pear Fruit,Φραγκόσυκο
Tomato,Ντομάτα
Wheat,Σιτάρι
Plant Fibers,Φυτικές Ίνες
Acorn,Βελανίδι
Beans,Φασόλια
Beet Seed,Σπόροι Παντζαριού
Birch Seed,Σπόρος Σημύδας
Bunchgrass Seed,Σπόρος Bunchgrass
Camas Bulb,Βολβοί
Cedar Seed,Σπόρος Κέδρου
Corn Seed,Σπόρος Καλαμποκιού
Creosote Bush Seed,Σπόρος Θάμνου Κριεζότου
Crimini Mushroom Spores,Σπόρια Μανιταριού Κριμίνι
Fern Spore,Σπόρος Φτέρης
Fireweed Seed,Σπόρος Fireweed
Fir Seed,Σπόρος Ελάτου
Grass Seed,Σπόρος Γρασιδιού
Huckleberry Seed,Σπόρος Μύρτιλλου
Prickly Pear Seed,Σπόρος Φραγκόσυκου
Rice,Ρύζι
Tomato Seed,Σπόρος Ντομάτας
Wheat Seed,Σπόρος Συταριού
Leather Hide,Δέρμα
Cloth,Πανί
Cellulose Fiber,Κυτταρινικές Ίνες
Fur Pelt,Μαλλί
Composite Filler,Συνθετικό Συμπλήρωσης
Huckleberry Extract,Εκχύλισμα Μύρτιλου
Berry Extract Fertilizer,Λίπασμα από εκχύλισμα μούρων
Pulp Filler,Συμπλήρωμα Χαρτοπολτού
Scrap Meat,Υπόλειμμα Κρέατος
Blood Meal Fertilizer,Λίπασμα Αίματος
Fiber Filler,Συμπλήρωμα Ινών
Charred Camas Bulb,Καμένος Βολβός Camas
Camas Ash Fertilizer,Λίπασμα από Στάχτη Camas
Dirt,Χώμα
Hide Ash Fertilizer,Λίπασμα από Στάχτη Δέρματος
Pelt Fertilizer,Λίπασμα από Μαλλί
Stone,Πέτρα
Phosphate Fertilizer,Φωσφορικό Λίπασμα
Wood Pulp,Πολτός Ξύλου
Acorn Powder,Σκόνη Βελανιδιού
Raw Meat,Ωμό Κρέας
Baked Meat,Ψημένο Κρέας
Raw Roast,Ωμό Ψητό Κρέας
Baked Roast,Μαγειρεμένο Ψητό Κρέας
Tallow,Λίπος
Bannock,Bannock
Bean Paste,Πάστα Φασολιού
Flour,Αλεύρι
Sugar,Ζάχαρη
Yeast,Ζύμη
Bearclaw,Δαγκάνα
Prime Cut,Κύριο Κομμάτι
Vegetable Medley,Ποτ Πουρί Λαχανικών
Meat Stock,Απόθεμα Κρέατος
Infused Oil,Εγχυμένο λάδι
Bear S U P R E M E,Υπέρτατη Αρκούδα
Raw Sausage,Ωμό Λουκάνικο
Boiled Sausage,Βρασμένο Λουκάνικο
Bread,Ψωμί
Camas Paste,Πάστα Camas
Camas Bread,Ψωμί Camas
Camas Bulb Bake,Ψημένο Πουγκί Camas
Campfire Roast,Ψητό Κρέας
Campfire Stew,Ψημένο Στιφάδο
Charred Beet,Ψημένο Πατζάρι
Charred Corn,Ψημένο Καλαμπόκι
Raw Fish,Ωμό Ψάρι
Charred Fish,Ψημένο Ψάρι
Charred Meat,Ψημένο Κρέας
Charred Sausage,Ψημένο Λουκάνικο
Charred Tomato,Ψημένη Τομάτα
Steel,Ατσάλι
Cornmeal,Αραβοσιτέλαιο
Oil,Λάδι
Corn Fritters,Φρυγανιές Καλαμποκιού
Corn Starch,Άμυλο Καλαμποκιού
Basic Salad,Βασική Σαλάτα
Crimson Salad,Βυσσινί Σαλάτα
Raw Bacon,Ωμό Μπέικον
Crispy Bacon,Τραγανό Μπέικον
Tortilla,Τορτίγια
Wild Mix,Μείγμα Μπαχαρικών
Elk Taco,Τάκο Ελαφιού
Elk Wellington,Elk Wellington
Flatbread,Πίτα
Prepared Meat,Προετοιμασμένο Κρέας
Fried Hare Haunches,Τηγανιτός Λαγός
Fried Tomatoes,Τηγανιτές Τομάτες
Huckleberry Pie,Πίτα με Μύρτιλο
Hydrocolloids,Υδροκολλοειδή
Liquid Nitrogen,Υγρό Άζωτο
Simple Syrup,Απλό Σιρόπι
Maltodextrin,Μαλτοδεξτρίνη
Meat Pie,Κρεατόπιτα
Cereal Germ,Σπόρος Δημητριακών
Seared Meat,Καμένο Κρέας
Simmered Meat,Σιγοβρασμένο Κρέας
Stuffed Turkey,Γαλοπούλα Γεμιστή
Fruit Salad,Φρουτοσαλάτα
Sweet Salad,Γλυκιά Σαλάτα
Transglutaminase,Τρανσγλουταμινάση
Vegetable Stock,Ζωμός Λαχανικών
Vegetable Soup,Σούπα Λαχανικών
Wild Stew,Άγριο Στιφάδο
Wilted Fiddleheads,Μαραμένα Fiddleheads
Piston,Έμβολο
Valve,Βαλβίδα
Servo,Βοηθητικό Μοτέρ
Circuit,Κύκλωμα
Advanced Combustion Engine,Προηγμένη Μηχανή Καύσης
Log,Κούτσουρο
Arrow,Βέλος
Concrete,Τσιμέντο
Asphalt Ramp,Ράμπα Ασφάλτου
Barrel,Βαρέλι
Biodiesel,Βιοντίζελ
Board,Σανίδα
Brick,Τούβλο
Lumber,Ξυλεία
Charcoal,Κάρβουνο
Substrate,Υπόστρωμα
Copper Wiring,Καλώδιο Χαλκού
Gold Flakes,Νιφάδες Χρυσού
Gearbox,Κιβώτιο Ταχυτήτων
Combustion Engine,Μηχανή Καύσης
Copper Ore,Μετάλλευμα Χαλκού
Copper Pipe,Σωλήνας Χαλκού
Corrugated Steel,Κυματοειδές Ατσάλι
Deed,Τίτλος Ιδιοκτησίας
Dirt Ramp,Ράμπα Χώματος
Electric Motor,Ηλεκτρικό Μοτέρ
Petroleum,Πετρέλαιο
Epoxy,Επόξυ
Plastic,Πλαστικό
Glass,Γυαλί
Fiberglass,Fiberglass
Fishing Pole,Καλάμι Ψαρέματος
Flat Steel,Επίπεδο Ατσάλι
Framed Glass,Πλαισιωμένο Γυαλί
Gasoline,Βενζίνη
Gear,Γρανάζι
Sand,Άμμος
Gold Ore,Μετάλλευμα Χρυσού
Hewn Log,Κομμένο Κούτσουρο
Iron Ore,Μετάλλευμα Σιδήρου
Iron Pipe,Σιδερένιος Σωλήνας
Mortared Stone,Μορφοποιημένη Πέτρα
Paper,Χαρτί
Rebar,Ράβδοι
Reinforced Concrete,Ενισχυμένο Τσιμέντο
Rivet,Πριτσίνι
Soil Sampler,Δειγματολήπτης Εδάφους
Steel Pipe,Ατσάλινος Σωλήνας
Stone Ramp,Πέτρινη Ράμπα
Stone Road,Πέτρινος Δρόμος
Torch,Δάδα
Bison Carcass,Κουφάρι Βίσονα
Elk Carcass,Κουφάρι Ελαφιού
Fox Carcass,Κουφάρι Αλεπούς
Hare Carcass,Κουφάρι Λαγού
Turkey Carcass,Κουφάρι Γαλοπούλας
Wolf Carcass,Κουφάρι Λύκου
Salmon,Σολωμός
Trout,Πέστροφα
Tuna,Τόνος
Urchin,Αχινός
Kelp,Φαιοφύκι
Clam,Αχιβάδα
Coal,Κάρβουνο
Waterwheel,Νερόμυλος
Anvil,Αμόνι
Bakery Oven,Φούρνος Αρτοποιίας
Blast Furnace,Υψικάμινος
Bloomery,Φρεατώδης Κάμινος
Bookshelf,Βιβλιοθήκη
Brazier,Μαγκάλι
Butchery Table,Τραπέζι Χασάπη
Campfire,Πυρά Κατασκήνωσης
Candle Stand,Κηροπήγιο
Carpentry Table,Τραπέζι Ξυλουργού
Cast Iron Stove,Σόμπα από Χυτοσίδηρο
Ceiling Candle,Πολυέλαιος
Cement Kiln,Καμίνι Τσιμέντου
Chair,Καρέκλα
Combustion Generator,Γεννήτρια Καύσης
Computer Lab,Εργαστήριο Υπολογιστών
Construction Post,Θέση Εργοταξίου
Contract Board,Πίνακας Συμβολαίων
Couch,Καναπές
Currency Exchange,Ανταλλαγή Συναλλάγματος
Electric Wall Lamp,Ηλεκτρική Λάμπα Τοίχου
Electronics Assembly,Συναρμολογητής Ηλεκτρονικών
Farmers Table,Τραπέζι Αγρότη
Fishery,Αλιεία
Fish Trap,Παγίδα Ψαριών
Icebox,Παγοκιβώτιο
Kiln,Καμίνι
Laboratory,Εργαστήριο
Laser,Λέιζερ
Wooden Latrine,Ξύλινη Λεκάνη
Masonry Table,Τραπέζι Τοιχοποιίας
Mill,Μύλος
Mint,Νομισματοκοπείο
Oil Refinery,Διυλιστήριο Πετρελαίου
Padded Chair,Καρέκλα με Επένδυση
Round Pot,Στρογγυλό Δοχείο
Square Pot,Τετράγωνο Δοχείο
Pump Jack,Αντλία
Refrigerator,Ψυγείο
Research Table,Τραπέζι Έρευνας
Rolling Mill,Ελασματουργός
Medium Rug,Μεσαίο Χαλί
Small Rug,Μικρό Χαλί
Salt Basket,Καλάθι με Αλάτι
Sawmill,Πριονιστήριο Ξυλείας
Shelf Cabinet,Ιδιωτική Ντουλάπα
Solar Generator,Ηλιακή Γεννήτρια
Stockpile,Περιοχή Αποθεμάτων
Stone Brazier,Πέτρινο Μαγκάλι
Storage Chest,Σεντούκι
Stove,Σόμπα
Streetlamp,Λάμπα Δρόμου
Tailoring Table,Τραπέζι Ραπτικής
Tallow Candle,Κερί από Λίπος
Tallow Lamp,Λάμπα Λίπους
Tallow Wall Lamp,Επίτοιχη Λάμπα Λίπους
Torch Stand,Βάση Δάδας
Treasury,Θησαυροφυλάκιο
Wainwright Table,Τραπέζι Αμαξοποιού
Wall Candle,Επίτοιχο Κερί
Washboard,Σκάφη
Washing Machine,Πλυντήριο
Windmill,Ανεμόμυλος
Wind Turbine,Ανεμογεννήτρια
Wooden Fabric Bed,Ξύλινο Κρεβάτι με Ύφασμα
Wooden Straw Bed,Ξύλινο Κρεβάτι με Άχυρο
Wood Sign,Ξύλινη Ταμπέλα
Workbench,Πάγκος Εργασίας
Advanced Baking,Προηγμένο Ψήσιμο
Advanced Cooking,Προηγμένη Μαγειρική
Advanced Smelting,Προηγμένη Τήξη
Baking,Ψήσιμο
Basic Engineering,Βασική Μηχανική
Butchery,Κρεοπωλείο
Campfire Cooking,Μαγείρεμα στην Φωτιά
Cement,Τσιμέντο
Cooking,Μαγείρεμα
Cutting Edge Cooking,Μαγειρεύοντας Κόβοντας τις Άκρες
Digging,Σκάψιμο
Electronics,Ηλεκτρονικά
Farming,Γεωργία
Fertilizers,Λιπάσματα
Fishing,Ψάρεμα
Gathering,Συγκέντρωση
Glassworking,Υαλουργία
Hewing,Πλέξιμο
Hunting,Κυνήγι
Industry,Βιομηχανία
Logging,Ξύλευση
Mechanics,Μηχανική
Milling,Άλεσμα
Mining,Εξόρυξη
Oil Drilling,Εξόρυξη Πετρελαίου
Paper Milling,Φρεζάρισμα χαρτιού
Self Improvement,Προσωπική Βελτίωση
Smelting,Λιώσιμο Μετάλλου
Tailoring,Ραπτική
Woodworking,Ξυλουργική
Backpack,Σακίδιο
Backpacks,Σακίδια
