English,Portuguese
Grass Seed,Semente de Relva
Huckleberry Seed,
Prickly Pear Seed,Semente de Pera Espinhosa
Rice,Arroz
Tomato Seed,Semente de Tomate
Wheat Seed,Semente de Trigo
Leather Hide,Pele de Couro
Cloth,Pano
Cellulose Fiber,Fibra de Celulose
Fur Pelt,
Composite Filler,
Huckleberry Extract,
Berry Extract Fertilizer,Fertilizante de Extrato de Bagas
Pulp Filler,Enchimento de Polpa
Scrap Meat,Restos de Carne
Blood Meal Fertilizer,Fertilizante de Farinha de Sangue
Fiber Filler,Enchimento de Fibra
Charred Camas Bulb,
Camas Ash Fertilizer,
Dirt,Terra
Hide Ash Fertilizer,
Pelt Fertilizer,
Stone,Pedra
Phosphate Fertilizer,Fertilizante de Fosfato
Wood Pulp,Polpa de Madeira
Acorn Powder,Pó de Bolota
Raw Meat,Carne Crua
Baked Meat,Carne Assada
Raw Roast,
Baked Roast,
Tallow,
Bannock,
Bean Paste,Pasta de Feijão
Flour,Farinha
Sugar,Açúcar
Yeast,Levedura
Bearclaw,Garra de Urso
Prime Cut,
Vegetable Medley,
Meat Stock,
Infused Oil,
Bear S U P R E M E,S U P R E M O de Urso
Raw Sausage,Salsicha Crua
Boiled Sausage,Salsicha Cozida
Bread,Pão
Camas Paste,
Camas Bread,
Camas Bulb Bake,
Campfire Roast,
Campfire Stew,
Charred Beet,
Charred Corn,
Raw Fish,Peixe Cru
Charred Fish,
Charred Meat,
Charred Sausage,Salsicha Esturrada
Charred Tomato,
Steel,Aço
Cornmeal,
Oil,Óleo
Corn Fritters,
Corn Starch,Amido de Milho
Basic Salad,Salada Básica
Crimson Salad,Salada Carmesim
Raw Bacon,Bacon Cru
Crispy Bacon,Bacon Crocante
Tortilla,Tortilha
Wild Mix,Mistura Selvagem
Elk Taco,Taco de Alce
Elk Wellington,
Flatbread,
Prepared Meat,Carne Preparada
Fried Hare Haunches,
Fried Tomatoes,Tomates Fritos
Huckleberry Pie,
Hydrocolloids,
Liquid Nitrogen,Nitrogénio Líquido
Simple Syrup,Xarope Simples
Maltodextrin,
Meat Pie,Tarte de Carne
Cereal Germ,
Seared Meat,
Simmered Meat,
Stuffed Turkey,
Fruit Salad,Salada de frutas
Sweet Salad,Salada Doce
Transglutaminase,
Vegetable Stock,
Vegetable Soup,
Wild Stew,
Wilted Fiddleheads,
Piston,Pistão
Valve,Válvula
Servo,Servomotor
Circuit,Circuito
Advanced Combustion Engine,Motor Avançado de Combustão
Log,Tronco
Arrow,Flecha
Concrete,Betão
Asphalt Ramp,Rampa de Asfalto
Barrel,Barril
Biodiesel,
Board,Placa
Brick,Tijolo
Lumber,Madeira Serrada
Charcoal,Carvão Vegetal
Substrate,Substrato
Copper Wiring,Fios de Cobre
Gold Flakes,Flocos de Ouro
Gearbox,Caixa de Velocidades
Combustion Engine,Motor de Combustão
Copper Ore,Minério de Cobre
Copper Pipe,Tubo de Cobre
Corrugated Steel,Aço Ondulado
Deed,Escritura
Dirt Ramp,Rampa de Terra
Electric Motor,Motor Elétrico
Petroleum,Petróleo
Epoxy,
Plastic,Plástico
Glass,Vidro
Fiberglass,Fibra de Vidro
Fishing Pole,Cana de Pesca
Flat Steel,Aço Plano
Framed Glass,Vidro Emoldurado
Gasoline,Gasolina
Gear,Engrenagem
Sand,Areia
Gold Ore,Minério de Ouro
Hewn Log,Tronco Talhado
Iron Ore,
Iron Pipe,
Mortared Stone,
Paper,Papel
Rebar,
Reinforced Concrete,
Rivet,Rebite
Soil Sampler,
Steel Pipe,Tubo de Aço
Stone Ramp,Rampa de Pedra
Stone Road,
Torch,
Bison Carcass,
Elk Carcass,
Fox Carcass,Carcaça de Raposa
Hare Carcass,Carcaça de Lebre
Turkey Carcass,Carcaça de Peru
Wolf Carcass,Carcaça de Lobo
Salmon,Salmão
Trout,Truta
Tuna,Atum
Urchin,Ouriço-do-mar
Kelp,Alga
Clam,
Coal,Carvão
Waterwheel,
Anvil,Bigorna
Bakery Oven,Forno de Padaria
Blast Furnace,
Bloomery,
Bookshelf,
Brazier,Braseiro
Butchery Table,
Campfire,Fogueira
Candle Stand,
Carpentry Table,
Cast Iron Stove,
Ceiling Candle,
Cement Kiln,
Chair,Cadeira
Combustion Generator,
Computer Lab,
Construction Post,
Contract Board,
Couch,Sofá
Currency Exchange,
Electric Wall Lamp,
Electronics Assembly,
Farmers Table,
Fishery,
Fish Trap,
Icebox,Geleira
Kiln,
Laboratory,Laboratório
Laser,
Wooden Latrine,Latrina de Madeira
Masonry Table,
Mill,
Mint,
Oil Refinery,
Padded Chair,
Round Pot,
Square Pot,
Pump Jack,
Refrigerator,
Research Table,
Rolling Mill,
Medium Rug,
Small Rug,
Salt Basket,
Sawmill,
Shelf Cabinet,
Solar Generator,
Stockpile,
Stone Brazier,
Storage Chest,
Stove,
Streetlamp,
Tailoring Table,
Tallow Candle,
Tallow Lamp,
Tallow Wall Lamp,
Torch Stand,
Treasury,
Wainwright Table,
Wall Candle,
Washboard,
Washing Machine,
Windmill,
Wind Turbine,
Wooden Fabric Bed,
Wooden Straw Bed,
Wood Sign,
Workbench,
Advanced Baking,
Advanced Cooking,
Advanced Smelting,
Baking,
Basic Engineering,
Butchery,
Campfire Cooking,
Cement,Cimento
Cooking,
Cutting Edge Cooking,
Digging,
Electronics,
Farming,
Fertilizers,
Fishing,Pesca
Gathering,
Glassworking,
Hewing,
Hunting,
Industry,Industria
Logging,
Mechanics,Mecânica
Milling,
Mining,Mineração
Oil Drilling,
Paper Milling,
Self Improvement,
Smelting,
Tailoring,
Woodworking,
Backpack,
Backpacks,
Chat Log,Registo de Conversa
Objectives,Objetivos
Alpha Cloak,
Alpha Cloaks,
Alpha Goggles,
Alpha Hat,
Alpha Hats,
Basic Backpack,
Bearpack,
Big Backpack,
Blinky Eyelids,
Camo Pants,
Camo Shirt,
Capris,
Derpy Hat,
Fit Torso,
Garden Boots,
Gigot Sleeve Shirt,
Hardy Beard,
Henley,
Human Limbs,
Light Backpack,
Low Top Shoes,
Normal Hair,
Peasant Hair,
Rounded Face,
Running Shoes,
Scruffy Hair,
Short Beard,
Square Belt,
Square Jaw,
Tall Boots,
Trousers,
Wolf Whisperer Hat,
Wolf Whisperer Hats,
Wolf Whisperer Mask,
Wolf Whisperer Masks,
Wolf Whisperer Shirt,
Wolf Whisperer Shirts,
Work Backpack,
Work Boots,
Bricks,
Logs,Troncos
Sands,Areias
Sewage,Esgoto
Tailings,
Tree Debris,
Wire,
Wires,
Beets,
Boiled Sausages,Salsichas Cozidas
Camas Bulbs,
Corns,
Ecoylent,
Fruit Salads,
Kelp Seed,
Milk,
Sugarcane,Cana de Açúcar
Tomatoes,
Tortillas,
Waterweed Seed,
Acorn Pack,
Arrows,Flechas
Beans Pack,
Beet Seed Pack,
Birch Seed Pack,
Boards,
Bunchgrass Seed Pack,
Camas Bulb Pack,
Cedar Seed Pack,
Clams,
Corn Seed Pack,
Creosote Bush Seed Pack,
Crimini Mushroom Spores Pack,
Deeds,Escrituras
Fern Spore Pack,
Fir Seed Pack,
Fireweed Seed Pack,
Grass Seed Pack,
Huckleberry Seed Pack,
Kelp Seed Pack,
Nuclear Fuel,
Papers,
Plastics,
Prickly Pear Seed Pack,
Rice Pack,
Smog,
Strange Fuel,
Sugarcane Pack,
Tomato Seed Pack,
Urchins,
Vehicle Tool Toggle,
Waterweed Seed Pack,
Wheat Seed Pack,
Advanced Baking Skill Book,
Advanced Cooking Skill Book,
Advanced Smelting Skill Book,
Baking Skill Book,
Basic Engineering Skill Book,
Butchery Skill Book,
Cooking Skill Book,
Cutting Edge Cooking Skill Book,
Electronics Skill Book,
Farming Skill Book,
Fertilizers Skill Book,
Glassworking Skill Book,
Industry Skill Book,
Mechanics Skill Book,
Milling Skill Book,
Oil Drilling Skill Book,
Paper Milling Skill Book,
Smelting Skill Book,
Tailoring Skill Book,
Advanced Baking Skill Scroll,
Advanced Cooking Skill Scroll,
Advanced Smelting Skill Scroll,
Baking Skill Scroll,
Basic Engineering Skill Scroll,
Butchery Skill Scroll,
Cooking Skill Scroll,
Cutting Edge Cooking Skill Scroll,
Electronics Skill Scroll,
Farming Skill Scroll,
Fertilizers Skill Scroll,
Glassworking Skill Scroll,
Industry Skill Scroll,
Mechanics Skill Scroll,
Milling Skill Scroll,
Oil Drilling Skill Scroll,
Paper Milling Skill Scroll,
Smelting Skill Scroll,
Tailoring Skill Scroll,
Carpenter,
Chef,
Engineer,
Farmer,
Farmers,
Hunter,
Mason,Pedreiro
Smith,
Survivalist,
Tailor,
Axes,
Dev Flood Tool,
Dev Tool,Ferramenta de Desenvolvimento
Ecko The Dolphin,Ecko o Golfinho
Fishing Poles,
Hammer,
Hoe,
Hoes,
Hydrometer,
Meteor Shard,
Meteor Shards,
Road Tool,
Bookshelves,
Button,Botão
Buttons,
Carved Pumpkin,
Door,Porta
Doors,Portas
Ecko Statue,
Excavator,Escavadora
Lasers,
Mills,
Powered Cart,
Small Wood Cart,
Switch,
Tables,
Transmission Pole,
Wood Cart,
{0} has returned to the game (Last online {1} ago).,
Vitamins,
Eat Food,
Mouse-over the food in your toolbar to examine its nutrients.,
Eat food containing carbohydrates.,
Eat food containing protein.,
Eat food containing fat.,
Eat food containing vitamins.,
Authorized,
{0} has left the game,
Controls,
Connecting...,
Shift,
Impact in:,
Text,Texto
Auth,Autorização
Enter text,
Public,
stuff,
Settings inherited from deed,
Chop a tree until it falls over.,
Pick up the pieces with 'E'.,
Open the Map.,
You can see the marker in the world. Click the arrow to bring up options or remove it.,
Tools,
You received,
Unauthorized\n,
Username,Utilizador
Authorized\n,Autorizado\n
password,palavra-passe
Logging in...,
calorie consumption,consumo de calorias
Decreases,
damage,dano
Increases,
repair cost,
harvest yield,
{0} Recipe,Receita de {0}
craft time,tempo de fabricação
You,
carry weight,
calorie cost,
how close you can approach animals,
Bucks,
Queued Projects,
Currency Exchange is disabled (room requirements not met?),
Selling,Venda
Buying,Compra
Balances,
Click to give player reputation.,
payment,pagamento
value,
Variants,
Tier {0},
{0} output,{0} saida
Plots,
Weight: {0}kg,
This item can only be carried.,
Crafted At,
Harvested from,
Buy it at,
Sell it at,
Used in,
Requires {0},
Ingredients,
Products,
No benefits from skills,
Ask an Expert To Craft It,
{0} Project,Projeto de {0}
Status,
Recipes,
Click to send a private message,
Welcome to Eco!,
Welcome back to Eco!,
World age: {0},
Click to view in the skill window,
Unlocks,
Benefits,
Top Users,
Skills,Competências
Produces,
and {0:count} more {1:items},
Eyes,Olhos
Torso,
Hips,
Limbs,
Jaw,
Hide from the animals!,
"Capri pants (also known as three quarter pants, capris, crop pants, pedal pushers, clam-diggers, flood pants, jams, highwaters, culottes, or toreador pants) are pants that are longer than shorts but are not as long as trousers.",
Dorky sombrero that doesn't fit anyone. You feel embarrassed to wear it.,
Cool piratey shirt that makes your biceps look bigger than they really are.,
"Basic, ordinary, every day, run of the mill, nondescript, conventional, commonplace, humdrum, standard, middle-of-the-road, garden-variety low-top shoes.",
The hair with a completely normal amount of flare.,
The haircut your mom always made you get before you realized you could make your own decisions.,
Belt with a square buckle.,
"Knee-high boots are boots that rise to the knee, or slightly thereunder. They are generally tighter around the leg shaft and ankle than at the top.",
"Sturdy pair of slim-fit pants. Trousers are an item of clothing worn from the waist to the ankles, covering both legs separately (rather than with cloth extending across both legs as in robes, skirts, and dresses).",
Lighter pack that causes lower calorie consumption.,
Powdered acorn.,
A trussed roast baked to perfection.,
A dense whole wheat unleavened bread.,
A seemingly random assortment of wild plants that form a sort of salad.,
Smashed beans can work as a thickener or flavour enhancer.,
Just because the name has 'bear' in it doesn't mean it actually contains bear.,
A brilliantly colored bulb with an earthy sweetness.,
"Boiled sausages might not be as pretty as grilled ones, but they're still tasty.",
"A delicious, crispy crust hides the soft interior.",
A bread with a camas twist for a bit of flavor and fun.,
"A spread of evenly baked camas bulbs; soft in the middle, golden brown on the outside.",
Pulverized camas works as an excellent thickener or flavour enhancer.,
"The uneven flame might be mediocre for cooking, but the open flame imparts a great flavor.",
"A by-product of milling, the germ is the reproductive part of the cereal that germinates.",
"Perhaps not the best raw vegetable to char, this beet seems to have held up well enough.",
"A fibrous and sweet treat much like a sweet potato, though slightly blackened over the heat of a campfire.",
At least it doesn't have any scales any more.,
For creating fancy foams!,
A warmly colored kernel studded vegetable.,
These deep fried corn treats are both crispy and delicious.,
Dried and ground corn; it's like a courser flour.,
"Obtained from the endosperm of the kernal, cornstarch can be used as a thickening agent for sauces.",
Edible mushrooms that are quite tasty.,
Just in case you want to eat red things without eating meat.,
Give me all the bacon and eggs you have.,
A complete meal replacement solution.,
A tasty treat made from corn tortillas and meat.,
A prime cut of meat surrounded by pastry.,
"A bitter, brightly colored shoot similar to asparagus.",
Without any leavening the flatbread isn't very puffy. But it's still tasty.,
Everything is better deep fried.,
Secret's in the sauce.,
"While tomatoes are fruits, you don't usually put them in fruit salads.",
A bulbous fruit that used to top Saguaro cacti.,
A concentrated blast of huckleberry goodness.,
A fantastic combination of flaky crust and scrumptious berries.,
Oil infused with flavor to enhance it.,
Useful for a quick chilling.,
A small circular biscuit with a sweet huckleberry filling.,
For powdering high-fat liquids.,
"Much like a huckleberry pie, but filled to the brim with succulent meat.",
A meaty stock made from the flesh of animals.,
"Milk, although maybe not from an animal.",
A plant fat extracted for use in cooking.,
"Carefully butchered meat, ready to cook.",
A succulent fruit coated in a rather terrifying array of spines.,
A perfectly marbled piece of meat.,
A fatty cut of meat that happens to be inexplicably tastier than other cuts.,
A fatty cut of raw fish.,
Fresh raw meat from the hunt. It should probably be cooked before being consumed.,
A trussed roast tied and ready to be cooked.,
Ground meat stuffed into an intestine casing.,
Chunks of extra meat.,
A cut of perfectly seared steak.,
Meat cooked in meat juices keeps the meat juicy.,
Even sweet lovers don't eat sugar plain.,
The sweetness of the fruits happens to work well with the salad.,
Rendered animal fat useful for more than just cooking.,
Intelligence is knowing this is a fruit; wisdom is not putting it in a fruit salad.,
"A thin, unleavened flatbread.",
Any enzyme that can be used to bond proteins together.,
An eclectic arrangement of vegetables.,
Who knew plants in plant broth could be so tasty?,
A hearty stock full of assorted vegetables.,
A common grain that is significantly more useful processed.,
A thick stew made with a variety of vegetables.,
"While a bunch of wilted fiddleheads may seem a bit sad, at least they're nutritious.",
A fungus that acts as an amazing leavening agent.,
A more advanced version of the normal combustion engine that produces a greater output.,
Use with the bow to hunt for food (or amaze your friends by shooting apples off of their heads).,
A paved surface constructed with asphalt and concrete. It's durable and extremely efficient for any wheeled vehicle.,
A vegetable or animal fat-based diesel fuel.,
A dead bison,
Durable building material made from fired blocks and mortar.,
Created by taking pulped plants and extruding them similarly to synthetic fibers.,
"A black residue, consisting of carbon and any remaining ash.",
A complex electrical component used in advanced electronics.,
A clam.,
A piece of rough cloth made by weaving fibers together.,
An engine that generates power by combustion of fuel.,
Unrefined ore with traces of copper.,
A pipe for transporting liquids.,
Especially useful for industrial buildings.,
"Ecko, the dolphin god of Eco bugs. Handle with care and lightly sprinkle with water every so often to keep moist.",
A motor.,
A dead elk.,
"A useful material for hardening, curing, and other various uses.",
Plastic reinforced with glass fiber strands.,
"Coated with a layer of epoxy, this steel refuses to rust.",
A dead fox.,
"A transparent, solid material useful for more than just windows.",
"A soft, furry pelt.",
Refined petroleum useful for fueling machines and generators.,
A toothed machine part that interlocks with others.,
A highly efficient conductor for delicate electronics.,
Unrefined ore with traces of gold.,
A dead hare.,
A log hewn and shaped to be a building material.,
Unrefined ore with traces of iron.,
Some creepy kelp.,
A thick hide.,
A stack of logs.,
Can be fashioned into various usable equipment.,
Used to create tough but rudimentary buildings.,
Unstable nuclear fuel.,Combustível nuclear instável.
It's paper.,
A moving component that transfers force. Can also function as a valve occasionally.,
An extremely useful synthetic material derived from petrochemicals,
A salmon.,Um salmão.
A rotary actuator that allows for control over angular position.,
A rocky surface formed from smoothed rubble. It's fairly durable and efficient for any wheeled vehicle.,
CHEEEAAAAATER,
The foundation material for complex electronics.,
A little bit of light to help beat back the night.,
Clear cut debris that needs to be broken down to be more usable.,
A trout.,
A tuna.,Um atum.
A dead turkey,
An urchin.,
"A device that regulates, directs, or controls the flow of fluid.",
A dead wolf.,
Plant to grow an oak tree.,
Oak,
A good source of protein.,
Plant to grow beets.,
Plant to grow into a birch sapling.,
Birch,
Plant to grow bunchgrass.,
Bunchgrass,
Plant to grow a camas plant.,
Camas,
Plant to grow a cedar sapling.,
Cedar,
Plant to grow corn.,
Plant to grow creosote bushes.,
CreosoteBush,
Plant to grow crimini mushrooms.,
CriminiMushroom,
Plant to grow ferns.,
Fern,
Plant to grow fireweed.,
Fireweed,
Plant to grow a fir tree.,
Fir,
Plant to grow grass.,
CommonGrass,
Plant to grow a huckleberry bush.,
Huckleberry,
Plant to grow kelp.,
Plant to grow prickly pear cacti.,
PricklyPear,
Plant to grow rice.,
How did you even get this?,
Plant to grow tomato plants.,
Plant to grow waterweed.,
Waterweed,
Plant to grow wheat.,
Large cart for hauling sizable loads.,
Small wheelbarrow for hauling minimal loads.,
A solid shaped piece of metal used to hammer ingots into tools and other useful things.,
A solidly built brick oven useful for baking all manner of treats.,
A superior replacement for the bloomery that can produce steel.,
A chimney-shaped furnace for smelting ores.,
A place to store knowledge and information; leads to the town hall.,
A metal stand which can hold burning fuel to provide light.,
A block and cleaver to process raw meat into fancier dishes.,
Cook like a caveman on an uneven fire.,
A fancy candelabra for providing small amounts of light.,
A table for basic wooden crafts for home improvement and progress.,
The perfect stove for the fledgling chef.,
A fancy hanging candelabra.,
Consumes most fuels to produce energy.,
A place where you can sit all day and play video games! Or work on expert-level research.,
A board to post contracts.,
A sweet couch to lounge on. Now with room for your friends!,
Allows players to exchange currency.,
A statue of a dolphin. What could it mean?,
A wall mounted lamp that requires electricity to turn on.,
A set of machinery to create electronics.,
A complex set of machinery for creating equally complex things.,
A box of ice. It's in the name!,
Useful for baking bricks and finishing pottery.,
A prep area for food which allows for more complex dishes.,
For researching the science side of cooking. Science rules!,
AVOID DIRECT EYE EXPOSURE,
A wooden potty.,
A fancy tool bench that creates equally fancy toys.,
A workstation for hewing and shaping stone into usable objects.,
Refines food resources by crushing them under a stone millstone.,
Allows for the creation of currency.,
Sets of pipes and tanks which refine crude petroleum into usable products.,
