,Client doesn't have {0} needed to pay.,"У замовника немає {0}, необхідних для оплати."
,Contractor doesn't have the needed {0} deposit specified in payment clause.,"Підрядник не має необхідних {0} внеску, зазначеного в умові про оплату."
,{0} paid to {1}. ,{0} сплачує {1}.
,{0} refunded.,{0} повернуто.
,No custom description set.,Опис відсутній.
,{0} must be at or above {1}.,{0} повинно бути рівно або більше {1}.
,property rights,права власності
,object rights,права об’єкту
,permanently,постійний
,for the term of the contract,терміну дії договору
,contract start,прийняття договору
,contract completion,виконання умов договору
,Receive {0:rights} on {1} {2:permanent or not} upon {3:time point}.,Отримайте {0:rights} на {1} {2:permanent or not} до {3:time point}.
,No location specified for permissions grant.,Не визначено місцепризначення для надання дозволів.
,"If you give permissions at contract completion, they must be permanent.",Надані вами дозволи на виконання умов договору мають бути постійними.
,"Can't get permissions on property or object at {0}, may be unclaimed.","Не можна отримати дозвіл на власність чи об’єкт в {0}, можливо нічійний."
,added,додано
,removed,вилучено
,{0} of the following must be true: {1},{0} з наступного слід виконати: {1}
,Harvest all {0} on the property at {1}.,Зберіть весь урожай {0} на власності у {1}.
,No harvest items specified.,"Не обрано, що збирати."
,Harvest container,Скриня для врожаю
,Tree still has unharvested logs:\n{0},Дерево має незібрані колоди:\n{0}
,Property still has unharvested plants: {0} at {1}.,Власність все ще має незібрані рослини: {0} в {1}.
,Mow the lawn on the property at {0}.,Скосіть галявину на власності в {0}.
,Nothing mowable on that property.,Немає що косити на цій власності.
,Unmowed {0:species name} at {1:position}.,Не скошено {0:species name} в {1:position}.
,Mow Lawn,Косити галявину
,Plow {0} square meters of field on the property at {1}.,Зорати {0} квадратних метрів поля на власності в {1}.
,Property does not cover {0} units.,Власність не покриває {0} одиниць.
,"Only {0} tilled spaces found on property, {1} needed.","На власності знайдено лише {0} зораної землі, потрібно {1}."
,Mow,Косити
,No property specified for clause.,Власність для умови не визначено.
,Debris/stumps still on property at {0}.,Власність на {0} все ще має сміття та пеньки.
,Move items from {0} to {1}.,Перемістіть предмети з {0} до {1}.
,Can't place a block there,Не можна поставити блок сюди
,No block to pick up,Немає блоків для підняття
,That is not a clothing item,Це не предмет одягу
,You equipped {0},Ви вдягнули {0}
,Your {0} broke!  It will be much less efficient until repaired.,{0} зламано! Без ремонту ефективність предмету буде значно нижчою.
,You are not authorized to remove items from that.,Ви не маєте дозволу забирати предмети звідси.
,You are not authorized to put items into that.,Ви не маєте дозволу класти предмети сюди.
,Can't select {0} while carrying {1}.,Не можна обрати {0} під час перенесення {1}.
,Skill Benefits,Переваги вміння
,Couldn't find any items matching {0},"Не знайдено предметів, які підходять до {0}"
,"Multiple items found matching, use more specific string: {0}","Знайдено декілька предметів, які підходять. Використовуйте більш детальний запит: {0}"
,Cannot plant on a spot occupied by {0},"Не можна саджати на місце, зайняте {0}"
,Plant already exists there.,Тут вже є рослина.
,Unknown plant type: {0},Невідомий тип рослини: {0}
,You have too many Skill Scrolls already.,Ви вже маєте забагато сувоїв умінь.
,Only {0} can collect that,Лише {0} може забрати це
,"Can't place there, blocked.","Тут розмістити неможливо, заблоковано."
,This plant is dead.,Ця рослина мертва.
,Atmosphere:({0}),Атмосфера:({0})
,Balanced Multiplier: {0},Збалансований множник: {0}
,Base Gain: {0},Базовий приріст: {0}
,Calories,Калорії
,Waste,Відходи
,Nutrition,Харчування
,Stomach Contents,Вміст шлунка
Chat command,full,повний
,You are not logged in,Ви не ввійшли
,You have kicked {0},Вас вигнали {0}
,{0} is not online,{0} не в мережі
,Your Steam id is {0}.,Ваш ідентифікатор Steam — {0}.
,Your SLG id is {0}.,Ваш ідентифікатор SLG — {0}.
,{0} is not logged in to a Steam account.,{0} не у Steam.
,{0}'s Steam id is {1}.,Steam-ID {0} — {1}.
,{0} is not logged in to an SLG account.,{0} не у SLG.
,{0} World Marker,{0} глобальна мітка
,Located {0:distance and direction} at {1}.,Знаходиться {0:distance and direction} в {1}.
,Link added to clipboard.,Посилання збережено в буфері.
,Waypoint added.,Мітку додано.
,Cleared all non-global markers.,Видалено усі неглобальні мітки.
,{0} set their objective: {1},{0} встановлює собі за мету: {1}
,You already own this deed.,Ви вже маєте це свідчення власності.
,Room had no ceiling at {0}.,У приміщення відсутня стеля в {0}.
,Room is flooded at {0},Приміщення в {0} затоплено
,'{0}' is not a valid tier number,«{0}» — недійсний ступінь
,Must be contained within a room,Має зберігатися у приміщенні
,Contained within a room,Зберігається в приміщенні
,Pressure:{0}atm,Тиск:{0}атм
,Current skill rate is {0}.,Поточний приріст очок вмінь {0}.
,{0} has issued you a warning. {1},{0} видає вам попередження. {1}
,You have sent a warning to {0},Ви видали попередження {0}
,Bad elk meat?,Погана оленина?
,Time for some government spending!,Час для державних витрат!
,Gabe has made it rain.,Ґейб прикликав дощ.
,You gave {0} skillpoints to {1},Ви даєте {0} очок умінь гравцю {1}
,Atmosphere added.,Атмосферу додано.
,You gave {0} plots to {1}.,Ви дали {0} ділянок гравцеві {1}.
,You gained {0} plots.,Ви отримали {0} ділянок.
,With great power comes great responsibility,З великою силою приходить велика відповідальність
,Selected item doesn't have durability.,Обраний предмет не має міцності.
,Durability set to {0},Встановлена міцність {0}
,Finished in {0},Закінчується через {0}
,{0} commands:,{0} застосовує команду:
,Online: {0},У мережі: {0}
,You are a {0},Ви {0}
,{0} is not a world layer.,{0} — не є одним із шарів світу.
,Missing Location,Відсутнє розташування
,"Can't add tutorial item to inventory, no room.","Відсутнє місце в інвентарі, навчальний предмет не додано."
,Building Blocks...,Блоки будуються…
,{0} has no access rights for {1} at {2}.,{0} не має прав доступу для {1} у {2}.
,{0} not selected.,{0} не обрано.
,{0} cannot accept items of type {1}.,{0} не може прийняти предмети типу {1}.
,Need to add {0} to {1}.,Потрібно додати {0} до {1}.
,Button pressed.,Кнопку натиснуто.
,meters,м
,Plant,Рослина
,This plant is dead. {0},Ця рослина мертва. {0}
,Calories Available: {0},Доступно калорій: {0}
,Calories Required per Organism: {0},Необхідні калорії в розрахунку на організм: {0}
,Amount of {0} Available: {1},Доступна кількість {0}: {1}
,Log is not ready for harvest.  Remove all branches first.,Поліно зарано ще забирати. Спочатку звільніть його від гілок.
,"Log is too large to pick up, slice into smaller pieces first.","Поліно занадто велике. Спочатку розділіть його на менші частини, щоби підняти."
,You are already carrying {0:items} and cannot pick up {1:items}.,Ви вже несете {0:items} і не можете підібрати {1:items}.
,You must obtain authorization to shoot {0}.,Отримайте дозвіл на відстріл {0}.
,Axe,Сокира
,Pickaxe,Кайло
,Scythe,Коса
,Shovel,Лопата
,Iron Axe,Залізна сокира
,Iron Hammer,Залізний молоток
,Iron Hoe,Залізна мотика
,Iron Pickaxe,Залізне кайло
,Iron Shovel,Залізна лопата
,Modern Axe,Сучасна сокира
,Modern Hammer,Сучасний молоток
,Modern Hoe,Сучасна мотика
,Modern Pickaxe,Сучасне кайло
,Modern Scythe,Сучасна коса
,Modern Shovel,Сучасна лопата
,Steel Axe,Сталева сокира
,Steel Hammer,Сталевий молоток
,Steel Hoe,Сталева мотика
,Steel Pickaxe,Сталеве кайло
,Steel Shovel,Сталева лопата
,Stone Axe,Кам’яна сокира
,Stone Hammer,Кам’яний молоток
,Stone Pickaxe,Кам’яне кайло
,Wooden Hoe,Дерев’яна мотика
,Wooden Shovel,Дерев’яна лопата
Help text for chat command /bow,Bow,Лук
,Amanita Mushrooms,Мухомори
,Beet,Буряк
,Corn,Кукурудза
,Crimini Mushrooms,Печериці
,Fiddleheads,Папороть
,Fireweed Shoots,Пагони дикого льону
,Giant Cactus Fruit,Плід сагуаро
,Huckleberries,Чорниці
,Prickly Pear Fruit,Плід опунції
,Tomato,Помідор
,Wheat,Пшениця
,Plant Fibers,Рослинні волокна
,Acorn,Жолудь
,Beans,Квасоля
,Beet Seed,Насіння буряка
,Birch Seed,Насіння берези
,Bunchgrass Seed,Насіння купчастої трави
,Camas Bulb,Цибулина камасії
,Cedar Seed,Кeдрове насіння
,Corn Seed,Насіння кукурудзи
,Creosote Bush Seed,Насіння креозотового куща
,Crimini Mushroom Spores,Спори печериць
,Fern Spore,Спори папороті
,Fireweed Seed,Насіння дикого льону
,Fir Seed,Насіння ялиці
,Grass Seed,Насіння трави
,Huckleberry Seed,Насіння чорниць
,Prickly Pear Seed,Насіння опунції
,Rice,Рис
,Tomato Seed,Насіння помідору
,Wheat Seed,Насіння пшениці
,Leather Hide,Шкіра
,Cloth,Тканина
,Cellulose Fiber,Клітковина
,Fur Pelt,Хутро
,Composite Filler,Композитний наповнювач
,Huckleberry Extract,Екстракт чорниці
,Berry Extract Fertilizer,Добриво з ягідного екстракту
,Pulp Filler,Наповнювач із деревини
,Scrap Meat,Обрізки м’яса
,Blood Meal Fertilizer,Добриво з кров’яного борошна
,Fiber Filler,Наповнювач із волокна
,Charred Camas Bulb,Обвуглена цибулина камасії
,Camas Ash Fertilizer,Добриво з попелу камасії
,Dirt,Земля
,Hide Ash Fertilizer,Добриво з попелу від згорілої шкіри
,Pelt Fertilizer,Добриво з хутра
,Stone,Камінь
,Phosphate Fertilizer,Фосфорні добрива
,Wood Pulp,Деревина
,Acorn Powder,Порошок із жолудів
,Raw Meat,Сире м’ясо
,Baked Meat,Запечене м’ясо
,Raw Roast,Сира печеня
,Baked Roast,Запечена печеня
,Tallow,Сало
,Bannock,Коржик
,Bean Paste,Паста з бобів
,Flour,Борошно
,Sugar,Цукор
,Yeast,Дріжджі
,Bearclaw,Пиріг «Ведмежий кіготь»
,Prime Cut,М’ясо найвищого ґатунку
,Vegetable Medley,Овочева суміш
,Meat Stock,М’ясний бульйон
,Infused Oil,Насичена олія
,Bear S U P R E M E,Ведмежий стейк
,Raw Sausage,Сира сарделька
,Boiled Sausage,Варена сарделька
,Bread,Хліб
,Camas Paste,Паста з камасії
,Camas Bread,Хліб з камасією
,Camas Bulb Bake,Запечена цибулина камасії
,Campfire Roast,Печеня на багатті
,Campfire Stew,Рагу на багатті
,Charred Beet,Обвуглений буряк
,Charred Corn,Обвуглений кукурудзяний качан
,Raw Fish,Сира риба
,Charred Fish,Обвуглена риба
,Charred Meat,Обвуглене м’ясо
,Charred Sausage,Обвуглена сарделька
,Charred Tomato,Обвуглений помідор
,Steel,Сталь
,Cornmeal,Кукурудзянe борошно
,Oil,Олія
,Corn Fritters,Кукурудзяні оладки
,Corn Starch,Кукурудзяний крохмаль
,Basic Salad,Простий салат
,Crimson Salad,Вінегрет
,Raw Bacon,Сирий бекон
,Crispy Bacon,Хрусткий бекон
,Tortilla,Тортилья
,Wild Mix,Суміш диких трав
,Elk Taco,Лосяче тако
,Elk Wellington,Лосятина по-веллінгтонськи
,Flatbread,Корж
,Prepared Meat,Оброблене м’ясо
,Fried Hare Haunches,Смажене заяче філе
,Fried Tomatoes,Смажені помідори
,Huckleberry Pie,Чорничний пиріг
,Hydrocolloids,Гідроколоїди
,Liquid Nitrogen,Рідкий азот
,Simple Syrup,Простий сироп
,Maltodextrin,Патока
,Meat Pie,М’ясний пиріг
,Cereal Germ,Зерновий зародок
,Seared Meat,Обсмажене м’ясо
,Simmered Meat,Тушковане м’ясо
,Stuffed Turkey,Фарширована індичка
,Fruit Salad,Фруктовий салат
,Sweet Salad,Солодкий салат
,Transglutaminase,Трансглютаміназа
,Vegetable Stock,Овочевий бульйон
,Vegetable Soup,Овочевий суп
,Wild Stew,Рагу з диких трав
,Wilted Fiddleheads,Зів’яла папороть
,Piston,Поршень
,Valve,Вентиль
,Servo,Сервопривід
,Circuit,Схема
,Advanced Combustion Engine,Удосконалений двигун внутрішнього згоряння
,Log,Колода
,Arrow,Стріла
,Concrete,Бетон
,Asphalt Ramp,Асфальтований підйом
,Barrel,Діжка
,Biodiesel,Біодизель
,Board,Дошка
,Brick,Цегла
,Lumber,Пиломатеріали
,Charcoal,Вугілля з деревини
,Substrate,Підкладка
,Copper Wiring,Мідний дріт
,Gold Flakes,Золоті пластівці
,Gearbox,Коробка передач
,Combustion Engine,Двигун внутрішнього згоряння
,Copper Ore,Мідна руда
,Copper Pipe,Мідна труба
,Corrugated Steel,Гофрована сталь
,Deed,Свідчення власності
,Dirt Ramp,Земляний підйом
,Electric Motor,Електродвигун
,Petroleum,Нафта
,Epoxy,Епоксидна смола
,Plastic,Пластик
,Glass,Скло
,Fiberglass,Скловолокно
,Fishing Pole,Вудка
,Flat Steel,Листова сталь
,Framed Glass,Рамкове скло
,Gasoline,Бензин
,Gear,Шестірня
,Sand,Пісок
,Gold Ore,Золота руда
,Hewn Log,Обтесана колода
,Iron Ore,Залізна руда
,Iron Pipe,Залізна труба
,Mortared Stone,Будівельне каміння
,Paper,Папір
,Rebar,Арматура
,Reinforced Concrete,Вироби залізобетонні
,Rivet,Заклепка
,Soil Sampler,Аналізатор ґрунту
,Steel Pipe,Сталева труба
,Stone Ramp,Кам’яний підйом
,Stone Road,Кам’яна дорога
,Torch,Факел
,Bison Carcass,Туша бізона
,Elk Carcass,Туша лося
,Fox Carcass,Туша лисиці
,Hare Carcass,Туша зайця
,Turkey Carcass,Туша індички
,Wolf Carcass,Туша вовка
,Salmon,Лосось
,Trout,Форель
,Tuna,Тунець
,Urchin,Морський їжак
,Kelp,Ламінарія
,Clam,Молюск
,Coal,Вугілля
,Waterwheel,Водяне колесо
,Anvil,Ковадло
,Bakery Oven,Піч для випічки
,Blast Furnace,Домна
,Bloomery,Сиродутне горно
,Bookshelf,Книжкова полиця
,Brazier,Жаровня
,Butchery Table,Різницький стіл
,Campfire,Багаття
,Candle Stand,Підсвічник
,Carpentry Table,Стіл теслі
,Cast Iron Stove,Чавунна піч
,Ceiling Candle,Люстра зі свічками
,Cement Kiln,Піч для цементу
,Chair,Стілець
,Combustion Generator,Генератор внутрішнього згоряння
,Computer Lab,Комп’ютерна лабораторія
,Construction Post,Будівельний знак
,Contract Board,Дошка договорів
,Couch,Диван
,Currency Exchange,Обмін валют
,Electric Wall Lamp,Електричний настінний світильник
,Electronics Assembly,Збирач електроніки
,Farmers Table,Фермерський стіл
,Fishery,Шафка рибалки
,Fish Trap,Рибна пастка
,Icebox,Льодовник
,Kiln,Промислова піч
,Laboratory,Лабораторія
,Laser,Лазер
,Wooden Latrine,Дерев’яний туалет
,Masonry Table,Каменярський стіл
,Mill,Млин
,Mint,Карбувальний верстат
,Oil Refinery,Нафтопереробний завод
,Padded Chair,М’яке крісло
,Round Pot,Круглий горщик
,Square Pot,Квадратний горщик
,Pump Jack,Нафтовий насос
,Refrigerator,Холодильник
,Research Table,Дослідницький стіл
,Rolling Mill,Стан прокатний
,Medium Rug,Середній килим
,Small Rug,Малий килим
,Salt Basket,Кошик солі
,Sawmill,Лісопилка
,Shelf Cabinet,Сервант
,Solar Generator,Сонячний генератор
,Stockpile,Комора
,Stone Brazier,Кам’яна жаровня
,Storage Chest,Скриня
,Stove,Плита
,Streetlamp,Вуличний ліхтар
,Tailoring Table,Кравецький стіл
,Tallow Candle,Сальна свічка
,Tallow Lamp,Сальний світильник
,Tallow Wall Lamp,Сальний настінний світильник
,Torch Stand,Факельна стійка
,Treasury,Скарбниця
,Wainwright Table,Стіл стельмаха
,Wall Candle,Настінна свічка
,Washboard,Пральна дошка
,Washing Machine,Пральна машина
,Windmill,Вітряк
,Wind Turbine,Вітрова турбіна
,Wooden Fabric Bed,Дерев’яне ліжко з матрацем
,Wooden Straw Bed,Дерев'яне ліжко з соломою
,Wood Sign,Дерев’яний знак
,Workbench,Верстат
,Advanced Baking,Розвинена випічка
,Advanced Cooking,Розвинена готівля
,Advanced Smelting,Розвинене плавлення
,Baking,Випічка
,Basic Engineering,Основи інженерії
,Butchery,Різництво
,Campfire Cooking,Приготування їжі на багатті
,Cement,Цемент
,Cooking,Приготування їжі
,Cutting Edge Cooking,Сучасна кулінарія
,Digging,Копання
,Electronics,Електроніка
,Farming,Фермерство
,Fertilizers,Добрива
,Fishing,Риболовля
,Gathering,Збирання
,Glassworking,Обробка скла
,Hewing,Тесання
,Hunting,Полювання
,Industry,Промисловість
,Logging,Заготівля лісу
,Mechanics,Механіка
,Milling,Млинарство
,Mining,Гірництво
,Oil Drilling,Добування нафти
,Paper Milling,Папірництво
,Self Improvement,Самовдосконалення
,Smelting,Плавлення
,Tailoring,Кравецтво
,Woodworking,Деревообробка
,Backpack,Рюкзак
,Backpacks,Рюкзаки
,Chat Log,Журнал повідомлень
,Objectives,Цілі
,Alpha Cloak,Альфа-плащ
,Alpha Cloaks,Альфа-плащі
,Alpha Goggles,Альфа-окуляри
,Alpha Hat,Альфа-капелюх
,Alpha Hats,Альфа-капелюхи
,Basic Backpack,Звичайний рюкзак
,Bearpack,Величезний наплічник
,Big Backpack,Великий рюкзак
,Blinky Eyelids,Кліпаючі повіки
,Camo Pants,Камуфляжні штани
,Camo Shirt,Камуфляжна сорочка
,Capris,Капрі
,Derpy Hat,Недоладний капелюх
,Fit Torso,Підтягнутий торс
,Garden Boots,Садові чоботи
,Gigot Sleeve Shirt,Сорочка з пишними рукавами
,Hardy Beard,Сувора борода
,Henley,Хенлі
,Human Limbs,Людські кінцівки
,Light Backpack,Легкий рюкзак
,Low Top Shoes,Кеди
,Normal Hair,Нормальне волосся
,Peasant Hair,Зачіска селянина
,Rounded Face,Заокруглене обличчя
,Running Shoes,Взуття для бігу
,Scruffy Hair,Скуйовджене волосся
,Short Beard,Коротка борода
,Square Belt,Ремінь із квадратною пряжкою
,Square Jaw,Квадратна щелепа
,Tall Boots,Високі чоботи
,Trousers,Брюки
,Wolf Whisperer Hat,Капелюх приборкувача вовків
,Wolf Whisperer Hats,Капелюхи приборкувача вовків
,Wolf Whisperer Mask,Маска приборкувача вовків
,Wolf Whisperer Masks,Маски приборкувача вовків
,Wolf Whisperer Shirt,Сорочка приборкувача вовків
,Wolf Whisperer Shirts,Сорочки приборкувача вовків
,Work Backpack,Робочий рюкзак
,Work Boots,Робочі чоботи
,Bricks,Цегла
,Logs,Колоди
,Sands,Піску
,Sewage,Каналізація
,Tailings,Шлак
,Tree Debris,Залишки дерев
,Wire,Дріт
,Wires,Дроти
,Beets,Буряків
,Boiled Sausages,Варені сардельки
,Camas Bulbs,Цибулини камасії
,Corns,Кукурудзи
,Ecoylent,Еколіксир
,Fruit Salads,Фруктові салати
,Kelp Seed,Насіння ламінарії
,Milk,Молоко
,Sugarcane,Цукрова тростина
,Tomatoes,Помідори
,Tortillas,Тортильї
,Waterweed Seed,Насіння елодеї
,Acorn Pack,Пакунок жолудів
,Arrows,Стріли
,Beans Pack,Пакунок бобів
,Beet Seed Pack,Пакунок насіння буряків
,Birch Seed Pack,Пакунок насіння берези
,Boards,Дошки
,Bunchgrass Seed Pack,Пакунок насіння купчастої трави
,Camas Bulb Pack,Пакунок цибулин камасії
,Cedar Seed Pack,Пакунок кедрового насіння
,Clams,Молюски
,Corn Seed Pack,Пакунок кукрудзяного насіння
,Creosote Bush Seed Pack,Пакунок насіння креозотового куща
,Crimini Mushroom Spores Pack,Пакунок спор печериць
,Deeds,Свідчення
,Fern Spore Pack,Пакунок спор папороті
,Fir Seed Pack,Пакунок насіння ялини
,Fireweed Seed Pack,Пачка насіння дикого льону
,Grass Seed Pack,Пакунок насіння трави
,Huckleberry Seed Pack,Пакунок насіння чорниць
,Kelp Seed Pack,Пакунок насіння ламінарії
,Nuclear Fuel,Ядерне паливо
,Papers,Папери
,Plastics,Пластики
,Prickly Pear Seed Pack,Пакунок насіння опунції
,Rice Pack,Пакунок рису
,Smog,Смог
,Strange Fuel,Дивне паливо
,Sugarcane Pack,Пакунок цукрової тростини
,Tomato Seed Pack,Пакунок насіння помідорів
,Urchins,Морські їжаки
,Vehicle Tool Toggle,Перемикач режиму транспорту
,Waterweed Seed Pack,Пакунок насіння елодеї
,Wheat Seed Pack,Пакунок насіння пшениці
,Advanced Baking Skill Book,Книжка вмінь: Розвинена випічка
,Advanced Cooking Skill Book,Книжка вмінь: Розвинене готування їжі
,Advanced Smelting Skill Book,Книжка вмінь: Розвинене плавлення
,Baking Skill Book,Книжка вмінь: Випічка
,Basic Engineering Skill Book,Книжка вмінь: Початкова інженерія
,Butchery Skill Book,Книжка вмінь: Різництво
,Cooking Skill Book,Книжка вмінь: Готування їжі
,Cutting Edge Cooking Skill Book,Книжка вмінь: Сучасна кулінарія
,Electronics Skill Book,Книжка вмінь: Електроніка
,Farming Skill Book,Книжка вмінь: Фермерство
,Fertilizers Skill Book,Книжка вмінь: Добрива
,Glassworking Skill Book,Книжка вмінь: Обробка скла
,Industry Skill Book,Книжка вмінь: Промисловість
,Mechanics Skill Book,Книжка вмінь: Механіка
,Milling Skill Book,Книжка вмінь: Млинарство
,Oil Drilling Skill Book,Книжка вмінь: Нафтодобування
,Paper Milling Skill Book,Книжка вмінь: Папірництво
,Smelting Skill Book,Книжка вмінь: Плавлення
,Tailoring Skill Book,Книжка вмінь: Кравецтво
,Advanced Baking Skill Scroll,Сувій вмінь: Розвинена випічка
,Advanced Cooking Skill Scroll,Сувій вмінь: Розвинене готування їжі
,Advanced Smelting Skill Scroll,Сувій вмінь: Розвинене плавлення
,Baking Skill Scroll,Сувій вмінь: Випічка
,Basic Engineering Skill Scroll,Сувій вмінь: Початкова інженерія
,Butchery Skill Scroll,Сувій вмінь: Різництво
,Cooking Skill Scroll,Сувій вмінь: Готування їжі
,Cutting Edge Cooking Skill Scroll,Сувій вмінь: Сучасна кулінарія
,Electronics Skill Scroll,Сувій вмінь: Електроніка
,Farming Skill Scroll,Сувій вмінь: Фермерство
,Fertilizers Skill Scroll,Сувій вмінь: Добрива
,Glassworking Skill Scroll,Сувій вмінь: Обробка скла
,Industry Skill Scroll,Сувій вмінь: Промисловість
,Mechanics Skill Scroll,Сувій вмінь: Механіка
,Milling Skill Scroll,Сувій вмінь: Млинарство
,Oil Drilling Skill Scroll,Сувій вмінь: Нафтодобування
,Paper Milling Skill Scroll,Сувій вмінь: Папірництво
,Smelting Skill Scroll,Сувій вмінь: Плавлення
,Tailoring Skill Scroll,Сувій вмінь: Кравецтво
,Carpenter,Тесля
,Chef,Кухар
,Engineer,Інженер
,Farmer,Фермер
,Farmers,Фермери
,Hunter,Мисливець
,Mason,Каменяр
,Smith,Коваль
,Survivalist,Виживальник
,Tailor,Кравець
,Axes,Сокири
,Dev Flood Tool,Інструмент розробника для повені
,Dev Tool,Інструмент розробника
,Ecko The Dolphin,Дельфін Еко
,Fishing Poles,Вудки
,Hammer,Молоток
,Hoe,Мотика
,Hoes,Мотики
,Hydrometer,Гідрометр
,Meteor Shard,Уламок метеорита
,Meteor Shards,Уламки метеорита
,Road Tool,Трамбувальний інструмент
,Bookshelves,Книжкові полиці
,Button,Кнопка
,Buttons,Кнопки
,Carved Pumpkin,Різьблений гарбуз
,Door,Двері
,Doors,Двері
,Ecko Statue,Статуя Еко
,Excavator,Екскаватор
,Lasers,Лазери
,Mills,Млинів
,Powered Cart,Возик із мотором
,Small Wood Cart,Малий дерев’яний віз
,Switch,Перемикач
,Tables,Столи
,Transmission Pole,Опора ЛЕП
,Wood Cart,Дерев’яний віз
